db20((mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1))) / mag((value(i("V0:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0) - value(i("V1:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0))))) X,db20((mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1))) / mag((value(i("V0:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0) - value(i("V1:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0))))) Y
1000,62.72160211647684
100990,62.7166258828757
200980,62.70879941376734
300970,62.6981380965247
400960,62.68466278846356
500950,62.6683996818339
600940,62.64938013600868
700930,62.62764047909806
800920,62.60322178158212
900910,62.5761696048557
1000900,62.54653372782105
1100890,62.51436785484249
1200880,62.47972930848555
1300870,62.44267871051014
1400860,62.40327965457268
1500850,62.36159837401591
1600840,62.31770340799762
1700830,62.27166526904126
1800820,62.22355611487365
1900810,62.1734494271761
2000800,62.12141969960769
2100790,62.06754213717421
2200780,62.01189236872827
2300770,61.95454617409061
2400760,61.89557922699048
2500750,61.83506685514794
2600740,61.77308381577113
2700730,61.70970409273128
2800720,61.64500070787979
2900710,61.57904555217081
3000700,61.51190923411428
3100690,61.44366094554788
3200680,61.37436834419938
3300670,61.30409745240189
3400660,61.23291257122743
3500650,61.16087620922918
3600640,61.08804902493473
3700630,61.01448978218593
3800620,60.94025531741153
3900610,60.86540051789976
4000600,60.78997831015143
4100590,60.71403965740394
4200580,60.63763356544194
4300570,60.56080709584006
4400560,60.48360538581921
4500550,60.40607167393939
4600540,60.32824733089279
4700530,60.25017189470744
4800520,60.17188310972138
4900510,60.09341696872599
5000500,60.01480775773474
5100490,59.93608810286837
5200480,59.85728901890027
5300470,59.77843995904469
5400460,59.69956886561044
