db20((mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1))) / mag((value(i("V0:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0) - value(i("V1:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0))))) X,db20((mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1))) / mag((value(i("V0:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0) - value(i("V1:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0))))) Y
1000,60.53225930414526
100990,60.52973925964724
200980,60.52588773024798
300970,60.52070825591889
400960,60.51420558571755
500950,60.50638566332586
600940,60.49725560904005
700930,60.48682369832589
800920,60.47509933707315
900910,60.46209303370469
1000900,60.44781636830987
1100890,60.43228195898965
1200880,60.41550342561489
1300870,60.39749535120946
1400860,60.37827324118248
1500850,60.35785348063752
1600840,60.33625328999615
1700830,60.31349067917532
1800820,60.28958440055636
1900810,60.26455390098925
2000800,60.23841927306653
2100790,60.21120120590054
2200780,60.1829209356318
2300770,60.15360019588657
2400760,60.12326116839474
2500750,60.09192643396786
2600740,60.05961892402724
2700730,60.02636187285855
2800720,59.99217877075719
2900710,59.95709331821595
3000700,59.92112938129266
3100690,59.88431094828
3200680,59.8466620877898
3300670,59.80820690834464
3400660,59.7689695195617
3500650,59.72897399499492
3600640,59.68824433625741
3700630,59.64680444106371
3800620,59.6046780687884
3900610,59.56188881206191
4000600,59.51846006809758
4100590,59.47441501225293
4200580,59.42977657340138
4300570,59.38456741109707
4400560,59.33880989450921
4500550,59.29252608308948
4600540,59.2457377089392
4700530,59.19846616082896
4800520,59.15073246982269
4900510,59.10255729645574
5000500,59.05396091940901
5100490,59.00496322562084
5200480,58.95558370177808
5300470,58.90584142712079
5400460,58.8557550675005
5500450,58.80534287062505
5600440,58.75462266242886
5700430,58.70361184450111
5800420,58.65232739251202
5900410,58.6007858555709
6000400,58.54900335645817
6100390,58.49699559266664
6200380,58.44477783819784
6300370,58.39236494605292
6400360,58.339771351365
6500350,58.28701107511841
6600340,58.23409772840397
6700330,58.18104451716296
6800320,58.12786424736903
6900310,58.07456933060851
7000300,58.02117179001122
7100290,57.96768326649621
7200280,57.91411502529179
7300270,57.86047796269365
7400260,57.80678261302989
7500250,57.75303915579787
7600240,57.69925742294631
7700230,57.64544690627322
7800220,57.59161676491373
7900210,57.53777583289578
8000200,57.48393262673908
8100190,57.43009535307847
8200180,57.37627191629323
8300170,57.32246992612275
8400160,57.26869670525613
8500150,57.21495929687823
8600140,57.16126447216018
8700130,57.10761873768449
8800120,57.05402834279005
8900110,57.0004992868319
9000100,56.94703732634221
9100090,56.89364798209213
9200080,56.84033654603876
9300070,56.78710808816039
9400060,56.73396746316812
9500050,56.68091931709402
9600040,56.62796809375016
9700030,56.57511804105611
9800020,56.52237321723206
9900010,56.46973749685708
10000000,56.41721457678972
550001000,56.41721457678972
550100990,56.41693541260308
550200980,56.41655473279891
550300970,56.41607318368958
550400960,56.4154916010548
550500950,56.414811006312
550600940,56.41403260183748
550700930,56.41315776547831
550800920,56.41218804430238
550900910,56.4111251476389
551000900,56.40997093946783
551100890,56.40872743022043
551200880,56.40739676805721
551300870,56.40598122969233
551400860,56.40448321083512
551500850,56.40290521632135
551600840,56.4012498500059
551700830,56.3995198044891
551800820,56.39771785074744
551900810,56.3958468277368
552000800,56.39390963203458
552100790,56.39190920758325
552200780,56.38984853559465
552300770,56.38773062466974
552400760,56.38555850118441
552500750,56.38333519998707
552600740,56.38106375544885
552700730,56.37874719290194
