db20((mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1))) / mag((value(i("V0:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0) - value(i("V1:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0))))) X,db20((mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1))) / mag((value(i("V0:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0) - value(i("V1:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic 0))))) Y
1000,57.53741489401261
100990,57.53638382867113
200980,57.53485915234076
300970,57.53284138469471
400960,57.53033121284638
500950,57.52732949057037
600940,57.52383723733671
700930,57.51985563715979
800920,57.51538603726598
900910,57.51042994658156
1000900,57.50498903404597
1100890,57.49906512675267
1200880,57.49266020792452
1300870,57.4857764147245
1400860,57.47841603591073
1500850,57.47058150933881
1600840,57.46227541931739
1700830,57.45350049382327
1800820,57.44425960158263
1900810,57.4345557490235
2000800,57.42439207710723
2100790,57.41377185804532
2200780,57.40269849190849
2300770,57.39117550313567
2400760,57.3792065369491
2500750,57.36679535568358
2600740,57.3539458350374
2700730,57.34066196025169
2800720,57.32694782222626
2900710,57.3128076135788
3000700,57.29824562465548
3100690,57.28326623949938
3200680,57.2678739317854
3300670,57.2520732607271
3400660,57.23586886696431
3500650,57.21926546843701
3600640,57.20226785625346
3700630,57.18488089055833
3800620,57.16710949640781
3900610,57.14895865965785
4000600,57.13043342287168
4100590,57.11153888125254
4200580,57.09228017860638
4300570,57.07266250334236
4400560,57.05269108451348
4500550,57.03237118790305
4600540,57.0117081121645
4700530,56.9907071850135
4800520,56.96937375948294
4900510,56.94771321023832
5000500,56.92573092996318
5100490,56.90343232361876
5200480,56.88082281366189
5300470,56.85790782374693
5400460,56.83469278392629
5500450,56.81118312530857
5600440,56.78738427690813
5700430,56.76330166258056
5800420,56.73894069804462
5900410,56.714306787994
6000400,56.68940532329771
6100390,56.66424167829148
6200380,56.63882120816105
6300370,56.61314924641736
6400360,56.58723110246369
6500350,56.56107205925511
6600340,56.53467737105114
6700330,56.50805226126019
