db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic -1)))) X,db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic -1)))) Y
1000,3.858063233814604
100990,3.855858214293745
200980,3.853030562654606
300970,3.849581494612655
400960,3.845512490627224
500950,3.840825293787266
600940,3.835521907333606
700930,3.829604591820903
800920,3.823075868111228
900910,3.815938490877515
1000900,3.80819547676339
1100890,3.799850080324529
1200880,3.790905794176656
1300870,3.781366344210102
1400860,3.77123568452323
1500850,3.760517992087071
1600840,3.749217661158272
1700830,3.73733929745359
1800820,3.724887712102789
1900810,3.711867915395893
2000800,3.698285110340545
2100790,3.684144686046269
2200780,3.66945221095364
2300770,3.654213425922791
2400760,3.63843423720052
2500750,3.622120709281396
2600740,3.605279057680488
2700730,3.587915641633331
2800720,3.570036956739979
2900710,3.551649627570524
3000700,3.532760400244871
3100690,3.513376135005637
3200680,3.493503798796083
3300670,3.473150457860088
3400660,3.452323270375826
3500650,3.431029479139331
3600640,3.409276404308259
3700630,3.387071436219624
3800620,3.364422028293564
3900610,3.341335690032816
4000600,3.317819980128896
4100590,3.293882499687077
4200580,3.26953088557425
4300570,3.244772803903743
4400560,3.219615943660668
4500550,3.194068010477244
4600540,3.168136720564269
4700530,3.141829794802975
4800520,3.115154953005031
4900510,3.088119908342432
5000500,3.060732361953998
5100490,3.032999997729389
5200480,3.004930477274458
5300470,2.976531435060803
5400460,2.947810473759134
5500450,2.91877515975996
5600440,2.88943301888031
5700430,2.859791532257227
5800420,2.829858132428472
5900410,2.799640199598245
6000400,2.769145058087942
6100390,2.738379972969861
6200380,2.707352146881808
6300370,2.676068717021499
6400360,2.644536752316181
6500350,2.612763250766941
6600340,2.58075513696308
6700330,2.548519259763431
6800320,2.516062390142934
6900310,2.483391219196814
7000300,2.450512356303664
7100290,2.417432327439238
7200280,2.38415757363837
7300270,2.350694449601571
7400260,2.317049222440882
7500250,2.283228070560725
7600240,2.249237082669802
7700230,2.215082256919139
7800220,2.180769500162449
7900210,2.146304627333157
8000200,2.111693360934381
8100190,2.076941330637653
8200180,2.042054072985485
8300170,2.007037031192172
8400160,1.971895555041746
8500150,1.936634900874714
8600140,1.901260231662325
8700130,1.865776617162985
8800120,1.830189034156163
8900110,1.794502366751536
9000100,1.758721406767101
9100090,1.722850862396227
9200080,1.686895326045706
9300070,1.650859323582179
9400060,1.614747282713675
9500050,1.578563541670401
9600040,1.542312349925882
9700030,1.505997868964228
9800020,1.469624173089128
9900010,1.433195250270813
10000000,1.396715003030997
