db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=80/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=80/psf" ?result "pac") harmonic -1)))) X,db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=80/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=80/psf" ?result "pac") harmonic -1)))) Y
1000,4.508899096952878
100990,4.505975548957712
200980,4.502292345457119
300970,4.497851418753042
400960,4.492655093680033
500950,4.486706083565307
600940,4.480007485532939
700930,4.47256277516856
800920,4.464375806946943
900910,4.455450783979982
1000900,4.445792283922955
1100890,4.435405230794677
1200880,4.424294891556487
1300870,4.412466867414083
1400860,4.399927084652357
1500850,4.386681785034589
1600840,4.372737515797074
1700830,4.358101119273177
1800820,4.342779722177295
1900810,4.326780724585037
2000800,4.310111788641458
2100790,4.292780827033026
2200780,4.274795991254985
2300770,4.256165659711226
2400760,4.236898425677289
2500750,4.217003085160815
2600740,4.196488624692051
2700730,4.175364209075275
2800720,4.153639169133027
2900710,4.131322989472126
3000700,4.108425296300858
3100690,4.084955845324635
3200680,4.060924509747064
3300670,4.036341268400943
3400660,4.011216194034016
3500650,3.98555944176983
3600640,3.959381237767912
3700630,3.93269186809949
3800620,3.905501667858756
3900610,3.877821010525762
4000600,3.849660297595588
4100590,3.821029948487799
4200580,3.791940390749077
4300570,3.762402050556726
4400560,3.732425343536416
4500550,3.702020665899357
4600540,3.671198385904933
4700530,3.639968835657308
4800520,3.60834230323578
4900510,3.576329025165052
5000500,3.5439391792251
5100490,3.511182877602315
5200480,3.478070160380575
5300470,3.444610989371771
5400460,3.410815242282244
5500450,3.376692707213906
5600440,3.342253077493379
5700430,3.307505946827165
5800420,3.272460804776456
5900410,3.237127032544284
6000400,3.201513899071579
6100390,3.165630557432317
6200380,3.12948604152212
6300370,3.093089263032014
6400360,3.056449008699207
6500350,3.019573937826347
6600340,2.982472580062137
6700330,2.945153333431854
6800320,2.907624462611784
6900310,2.869894097436956
7000300,2.831970231632713
7100290,2.793860721763179
7200280,2.755573286384714
7300270,2.717115505397576
7400260,2.678494819585988
7500250,2.639718530336999
7600240,2.600793799530696
7700230,2.561727649592102
7800220,2.522526963696401
7900210,2.483198486119787
8000200,2.443748822726063
8100190,2.404184441583684
8200180,2.364511673702156
8300170,2.324736713883607
8400160,2.284865621678682
8500150,2.244904322443278
8600140,2.204858608485203
8700130,2.164734140297985
8800120,2.124536447872084
8900110,2.08427093207994
9000100,2.043942866126309
9100090,2.003557397060735
9200080,1.963119547344316
9300070,1.922634216467271
9400060,1.882106182610977
9500050,1.841540104350434
9600040,1.800940522392574
9700030,1.760311861344865
9800020,1.719658431511996
9900010,1.678984430715079
10000000,1.638293946130033
