db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc_with_buffer/spectre/schematic/temp=0/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc_with_buffer/spectre/schematic/temp=0/psf" ?result "psp")) Y
540000000,-12.65456399701791
540100000,-12.67891708173769
540200000,-12.70301085320438
540300000,-12.7268363805087
540400000,-12.75038465671692
540500000,-12.77364660430936
540600000,-12.79661308091952
540700000,-12.81927488537686
540800000,-12.84162276405215
540900000,-12.86364741750826
541000000,-12.8853395074512
541100000,-12.90668966398306
541200000,-12.92768849315242
541300000,-12.94832658479768
541400000,-12.96859452067888
541500000,-12.98848288289186
541600000,-13.00798226255669
541700000,-13.02708326877206
541800000,-13.04577653782587
541900000,-13.06405274265091
542000000,-13.08190260251362
542100000,-13.09931689291988
542200000,-13.1162864557276
542300000,-13.13280220944485
542400000,-13.14885515969978
542500000,-13.16443640986122
542600000,-13.17953717179193
542700000,-13.19414877671151
542800000,-13.20826268614755
542900000,-13.22187050295304
543000000,-13.23496398236233
543100000,-13.24753504306418
543200000,-13.2595757782616
543300000,-13.27107846669485
543400000,-13.28203558359778
543500000,-13.29243981156046
543600000,-13.30228405126588
543700000,-13.31156143207789
543800000,-13.32026532244233
543900000,-13.3283893400798
544000000,-13.33592736193422
544100000,-13.34287353385022
544200000,-13.34922227995123
544300000,-13.35496831168555
544400000,-13.36010663651554
544500000,-13.36463256622088
544600000,-13.36854172503343
544700000,-13.37183005611746
544800000,-13.37449383000531
544900000,-13.37652965014075
545000000,-13.37793445911114
545100000,-13.37870554410982
545200000,-13.37884054185247
545300000,-13.37833744292737
545400000,-13.37719459556412
545500000,-13.37541070881033
545600000,-13.37298485510199
545700000,-13.36991647221869
545800000,-13.36620536461863
545900000,-13.36185170414649
546000000,-13.35685603011096
546100000,-13.35121924873642
546200000,-13.34494263198151
546300000,-13.33802781573858
546400000,-13.33047679741279
546500000,-13.32229193289315
546600000,-13.31347593292471
546700000,-13.30403185889536
546800000,-13.29396311804864
546900000,-13.28327345814503
547000000,-13.27196696158301
547100000,-13.26004803900478
547200000,-13.2475214224071
547300000,-13.23439215777653
547400000,-13.22066559727982
547500000,-13.2063473910299
547600000,-13.1914434784535
547700000,-13.17596007929398
547800000,-13.15990368426869
547900000,-13.14328104541735
548000000,-13.12609916616624
548100000,-13.10836529113884
548200000,-13.09008689574417
548300000,-13.07127167556922
548400000,-13.05192753560968
548500000,-13.03206257936408
548600000,-13.01168509782421
548700000,-12.99080355838689
548800000,-12.96942659371902
548900000,-12.94756299059996
549000000,-12.92522167876999
549100000,-12.90241171981089
549200000,-12.87914229608013
549300000,-12.85542269972849
549400000,-12.83126232181625
549500000,-12.80667064155886
549600000,-12.78165721571261
549700000,-12.75623166812729
549800000,-12.73040367948035
549900000,-12.70418297720908
550000000,-12.67757932565894
550100000,-12.65060251645846
550200000,-12.62326235913761
550300000,-12.59556867199684
550400000,-12.56753127324313
550500000,-12.53915997239492
550600000,-12.51046456197076
550700000,-12.48145480946395
550800000,-12.45214044961014
550900000,-12.42253117695361
551000000,-12.39263663871302
551100000,-12.36246642795241
551200000,-12.33203007705539
551300000,-12.30133705150522
551400000,-12.27039674397102
551500000,-12.23921846869612
551600000,-12.20781145618959
551700000,-12.17618484821591
551800000,-12.14434769308094
551900000,-12.11230894120937
552000000,-12.08007744100979
552100000,-12.0476619350208
552200000,-12.01507105633573
552300000,-11.98231332529442
552400000,-11.94939714644301
552500000,-11.9163308057479
552600000,-11.88312246806219
552700000,-11.84978017483432
552800000,-11.81631184205323
552900000,-11.78272525842037
553000000,-11.7490280837431
553100000,-11.71522784754073
553200000,-11.68133194785413
553300000,-11.64734765025269
553400000,-11.61328208703012
553500000,-11.57914225658019
553600000,-11.54493502294594
553700000,-11.51066711553378
553800000,-11.47634512898373
553900000,-11.44197552319102
554000000,-11.40756462346764
554100000,-11.37311862083965
554200000,-11.3386435724715
554300000,-11.30414540221011
554400000,-11.26962990124223
554500000,-11.23510272885828
554600000,-11.20056941331579
554700000,-11.16603535279594
554800000,-11.13150581644796
554900000,-11.09698594551341
555000000,-11.06248075452682
555100000,-11.02799513258555
555200000,-10.99353384468265
555300000,-10.95910153310196
555400000,-10.92470271886239
555500000,-10.89034180321618
555600000,-10.85602306918766
555700000,-10.82175068315501
555800000,-10.78752869646648
555900000,-10.75336104708827
556000000,-10.71925156128164
556100000,-10.68520395530295
556200000,-10.65122183712574
556300000,-10.61730870817977
556400000,-10.58346796510425
556500000,-10.54970290151402
556600000,-10.51601670977216
556700000,-10.48241248277092
556800000,-10.44889321571496
556900000,-10.41546180790581
557000000,-10.38212106452648
557100000,-10.34887369842148
557200000,-10.31572233187367
557300000,-10.28266949837277
557400000,-10.24971764437684
557500000,-10.21686913106251
557600000,-10.18412623606539
557700000,-10.15149115520641
557800000,-10.11896600420449
557900000,-10.08655282037492
558000000,-10.05425356431066
558100000,-10.0220701215468
558200000,-9.990004304207062
558300000,-9.958057852632498
558400000,-9.926232436988398
558500000,-9.894529658853934
558600000,-9.862951052788794
558700000,-9.831498087880179
558800000,-9.800172169266997
558900000,-9.768974639642959
559000000,-9.737906780736871
559100000,-9.706969814770467
559200000,-9.676164905892776
559300000,-9.645493161592322
559400000,-9.614955634085636
559500000,-9.584553321682229
559600000,-9.554287170126972
559700000,-9.524158073917517
559800000,-9.494166877600271
559900000,-9.4643143770415
560000000,-9.434601320675322
