db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc_with_buffer/spectre/schematic/temp=80/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc_with_buffer/spectre/schematic/temp=80/psf" ?result "psp")) Y
540000000,-11.11516415369443
540100000,-11.12551614564131
540200000,-11.13565359215173
540300000,-11.14557260035654
540400000,-11.15526929465637
540500000,-11.16473981938203
540600000,-11.17398034149602
540700000,-11.18298705333508
540800000,-11.191756175388
540900000,-11.20028395910739
541000000,-11.20856668975216
541100000,-11.21660068925633
541200000,-11.22438231912317
541300000,-11.23190798333801
541400000,-11.239174131298
541500000,-11.24617726075534
541600000,-11.25291392076798
541700000,-11.25938071465546
541800000,-11.26557430295539
541900000,-11.27149140637535
542000000,-11.27712880873696
542100000,-11.28248335990684
542200000,-11.2875519787101
542300000,-11.29233165582144
542400000,-11.29681945663008
542500000,-11.30101252407224
542600000,-11.30490808142825
542700000,-11.30850343507671
542800000,-11.31179597720433
542900000,-11.31478318846423
543000000,-11.31746264057761
543100000,-11.31983199887648
543200000,-11.3218890247791
543300000,-11.32363157819815
543400000,-11.32505761987104
543500000,-11.32616521361387
543600000,-11.32695252848998
543700000,-11.32741784089194
543800000,-11.32755953653025
543900000,-11.32737611232699
544000000,-11.32686617820776
544100000,-11.32602845879258
544200000,-11.32486179438923
544300000,-11.32336514478085
544400000,-11.32153758715838
544500000,-11.31937831961271
544600000,-11.31688666170076
544700000,-11.31406205544478
544800000,-11.31090406620695
544900000,-11.30741238343857
545000000,-11.30358682130074
545100000,-11.29942731915632
545200000,-11.29493394193009
545300000,-11.29010688033933
545400000,-11.28494645099046
545500000,-11.27945309634441
545600000,-11.27362738454914
545700000,-11.26747000913974
545800000,-11.26098178860684
545900000,-11.25416366583403
546000000,-11.24701670740529
546100000,-11.23954210278344
546200000,-11.23174116336264
546300000,-11.22361532139426
546400000,-11.2151661287903
546500000,-11.20639525580681
546600000,-11.19730448960837
546700000,-11.18789573271714
546800000,-11.17817100135073
546900000,-11.16813242365
547000000,-11.15778223780287
547100000,-11.14712279006487
547200000,-11.13615653268316
547300000,-11.12488602172478
547400000,-11.11331391481726
547500000,-11.1014429688032
547600000,-11.08927603731273
547700000,-11.07681606826002
547800000,-11.06406610126934
547900000,-11.05102926503137
548000000,-11.03770877459919
548100000,-11.02410792862592
548200000,-11.01023010655009
548300000,-10.99607876573133
548400000,-10.98165743854666
548500000,-10.96696972944496
548600000,-10.95201931197135
548700000,-10.93680992576065
548800000,-10.92134537350989
548900000,-10.90562951792969
549000000,-10.88966627868422
549100000,-10.87345962931868
549200000,-10.85701359418488
549300000,-10.84033224536392
549400000,-10.8234196995951
549500000,-10.8062801152106
549600000,-10.78891768908469
549700000,-10.77133665359711
549800000,-10.75354127361827
549900000,-10.73553584351717
550000000,-10.71732468419661
550100000,-10.69891214015997
550200000,-10.68030257661196
550300000,-10.66150037659564
550400000,-10.64250993816979
550500000,-10.62333567163043
550600000,-10.6039819967763
550700000,-10.58445334022285
550800000,-10.56475413276695
550900000,-10.54488880680375
551000000,-10.5248617937971
551100000,-10.50467752180862
551200000,-10.48434041308158
551300000,-10.46385488168622
551400000,-10.44322533122524
551500000,-10.42245615260153
551600000,-10.40155172184786
551700000,-10.3805163980221
551800000,-10.35935452116524
551900000,-10.33807041032644
552000000,-10.31666836165222
552100000,-10.2951526465429
552200000,-10.27352750987491
552300000,-10.25179716828982
552400000,-10.22996580854868
552500000,-10.20803758595479
552600000,-10.18601662284062
552700000,-10.16390700712166
552800000,-10.14171279091458
552900000,-10.11943798922183
553000000,-10.09708657867888
553100000,-10.07466249636624
553200000,-10.05216963868354
553300000,-10.02961186028662
553400000,-10.00699297308422
553500000,-9.984316745296733
553600000,-9.961586900572927
553700000,-9.938807117165338
553800000,-9.915981027162314
553900000,-9.893112215777242
554000000,-9.87020422069042
554100000,-9.847260531446775
554200000,-9.824284588904879
554300000,-9.801279784736675
554400000,-9.778249460977326
554500000,-9.755196909624448
554600000,-9.732125372282958
554700000,-9.709038039857127
554800000,-9.68593805228654
554900000,-9.662828498325016
555000000,-9.639712415362132
555100000,-9.616592789284432
555200000,-9.593472554376504
555300000,-9.57035459325939
555400000,-9.547241736865464
555500000,-9.524136764449247
555600000,-9.501042403630601
555700000,-9.477961330472153
555800000,-9.454896169586641
555900000,-9.431849494275443
556000000,-9.408823826694823
556100000,-9.385821638050185
556200000,-9.362845348817107
556300000,-9.339897328986169
556400000,-9.316979898333287
556500000,-9.294095326711911
556600000,-9.271245834366983
556700000,-9.248433592270162
556800000,-9.225660722473295
556900000,-9.202929298481841
557000000,-9.180241345644353
557100000,-9.157598841559642
557200000,-9.135003716497861
557300000,-9.112457853838373
557400000,-9.089963090518708
557500000,-9.067521217497783
557600000,-9.045133980230606
557700000,-9.022803079153896
557800000,-9.000530170181694
557900000,-8.978316865210655
558000000,-8.956164732633967
558100000,-8.934075297862584
558200000,-8.912050043854373
558300000,-8.890090411649425
558400000,-8.868197800910613
558500000,-8.846373570470591
558600000,-8.824619038881757
558700000,-8.802935484971592
558800000,-8.781324148400243
558900000,-8.759786230221904
559000000,-8.73832289344773
559100000,-8.716935263610726
559200000,-8.695624429332677
559300000,-8.674391442890402
559400000,-8.653237320784175
559500000,-8.632163044305027
559600000,-8.61116956010159
559700000,-8.590257780746766
559800000,-8.569428585303161
559900000,-8.548682819886132
560000000,-8.52802129822593
