db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=80/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/temp=80/psf" ?result "psp")) Y
540000000,-6.087742754728729
540200000,-6.189129340987502
540400000,-6.294321829195773
540600000,-6.403490744888053
540800000,-6.516814574339209
541000000,-6.634480026958533
541200000,-6.756682273606097
541400000,-6.883625150324332
541600000,-7.015521314114896
541800000,-7.152592333768122
542000000,-7.295068694184447
542200000,-7.443189686827826
542400000,-7.59720315144865
542600000,-7.757365026110758
542800000,-7.923938647208473
543000000,-8.097193731998493
543200000,-8.277404951456713
543400000,-8.464849980524665
543600000,-8.659806881170091
543800000,-8.862550635230557
544000000,-9.073348595354355
544200000,-9.292454561353717
544400000,-9.520101113332096
544600000,-9.756489739361331
544800000,-10.00177818183849
545000000,-10.25606429159832
545200000,-10.51936552347067
545400000,-10.79159303719091
545600000,-11.07251919815628
545800000,-11.36173713338031
546000000,-11.65861094369435
546200000,-11.96221529641706
546400000,-12.27126357116427
546600000,-12.58402472579589
546800000,-12.89823089265124
547000000,-13.2109807734339
547200000,-13.5186485199973
547400000,-13.81681408825364
547600000,-14.10023854924791
547800000,-14.36291489675651
548000000,-14.59822818513715
548200000,-14.79925338821537
548400000,-14.95919998460656
548600000,-15.07197697283966
548800000,-15.13280669003181
549000000,-15.13877655219709
549200000,-15.0892063074308
549400000,-14.98573919886802
549600000,-14.83213312498869
549800000,-14.6338057940011
550000000,-14.39724303675739
550200000,-14.12939268938231
550400000,-13.83714138110509
550600000,-13.52692738768622
550800000,-13.20450001169148
551000000,-12.87480683018289
551200000,-12.54197684378903
551400000,-12.20936626857465
551600000,-11.87963902252097
551800000,-11.55486148447673
552000000,-11.23659824062561
552200000,-10.92600117595278
552400000,-10.62388823069223
552600000,-10.33081066936895
552800000,-10.04710917298453
553000000,-9.772959809561918
553200000,-9.508411234794867
553400000,-9.253414512615842
553600000,-9.007846848697437
553800000,-8.771530373802918
554000000,-8.544246941852808
554200000,-8.325749742488442
554400000,-8.115772380419035
554600000,-7.914035947540031
554800000,-7.720254508615126
555000000,-7.534139335276734
555200000,-7.355402153649424
555400000,-7.183757615333171
555600000,-7.018925157292922
555800000,-6.860630381231924
556000000,-6.708606055404308
556200000,-6.562592820071178
556400000,-6.422339660670101
556600000,-6.287604199293532
556800000,-6.158152844455444
557000000,-6.033760830775402
557200000,-5.914212173616535
557400000,-5.799299558522279
557600000,-5.688824181184399
557800000,-5.582595550427153
558000000,-5.480431264115699
558200000,-5.382156765850372
558400000,-5.287605088682708
558600000,-5.1966165907901
558800000,-5.109038687012859
559000000,-5.02472557932795
559200000,-4.943537988671039
559400000,-4.865342889985169
559600000,-4.79001325194652
559800000,-4.71742778247472
560000000,-4.647470680854725
