db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1)))) X,db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1)))) Y
1000,4.979076256753955
100990,4.975930363933222
200980,4.971650606221774
300970,4.966240333392619
400960,4.95970376934193
500950,4.9520460011433
600940,4.943272965932382
700930,4.93339143569022
800920,4.922409006506438
900910,4.910334055288085
1000900,4.897175752411075
1100890,4.882944018132237
1200880,4.867649503149011
1300870,4.851303562806334
1400860,4.833918229947977
1500850,4.815506186544759
1600840,4.796080734233786
1700830,4.775655763904894
1800820,4.754245724472315
1900810,4.731865590969599
2000800,4.708530832103584
2100790,4.684257377404811
2200780,4.659061584103586
2300770,4.632960203865528
2400760,4.60597034950616
2500750,4.578109461810127
2600740,4.549395276565739
2700730,4.519845791926706
2800720,4.489479236202002
2900710,4.458314036171065
3000700,4.426368786012255
3100690,4.393662216927686
3200680,4.360213167538273
3300670,4.326040555116291
3400660,4.291163347715946
3500650,4.255600537253587
3600640,4.219371113584533
3700630,4.182494039612722
3800620,4.144988227466407
3900610,4.106872515765433
4000600,4.068165647995234
4100590,4.028886252005416
4200580,3.989052820634709
4300570,3.948683693468112
4400560,3.90779703971995
4500550,3.866410842236141
4600540,3.824542882603636
4700530,3.78221072735013
4800520,3.739431715215223
4900510,3.696222945469416
5000500,3.652601267256936
5100490,3.608583269932296
5200480,3.56418527436218
5300470,3.519423325161267
5400460,3.474313183825704
5500450,3.428870322733712
5600440,3.383109919975094
5700430,3.337046854973976
5800420,3.290695704869707
5900410,3.244070741617125
6000400,3.197185929770785
6100390,3.15005492491655
6200380,3.102691072711986
6300370,3.055107408504826
6400360,3.007316657487161
6500350,2.959331235357505
6600340,2.911163249452289
6700330,2.862824500317058
6800320,2.814326483682956
6900310,2.765680392820049
7000300,2.716897121235346
7100290,2.667987265689131
7200280,2.618961129500343
7300270,2.569828726114846
7400260,2.520599782913285
7500250,2.47128374523121
7600240,2.421889780571702
7700230,2.372426782986525
7800220,2.322903377607278
7900210,2.273327925305181
8000200,2.223708527462208
8100190,2.174053030836807
8200180,2.124369032506081
8300170,2.07466388487255
8400160,2.024944700717031
8500150,1.975218358289001
8600140,1.925491506417591
8700130,1.875770569636509
8800120,1.826061753307756
8900110,1.77637104873819
9000100,1.726704238277016
9100090,1.677066900388443
9200080,1.627464414689408
9300070,1.577901966948348
9400060,1.52838455403595
9500050,1.478916988824888
9600040,1.429503905030579
9700030,1.380149761991395
9800020,1.330858849382009
9900010,1.281635291857329
10000000,1.232483053623748
