db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1)))) X,db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1)))) Y
1000.000000059605,6.239076726928711
50995.0000000596,6.238940364731471
100990.0000000596,6.238801198599172
150985.0000000596,6.238659228826263
200980.0000000596,6.238514455712457
250975.0000000596,6.238366879563007
300970.0000000596,6.238216500688436
350965.0000000596,6.238063319404706
400960.0000000596,6.237907336033006
450955.0000000596,6.23774855090001
500950.0000000596,6.237586964337591
550945.0000000596,6.237422576683197
600940.0000000596,6.23725538827963
650935.0000000596,6.237085399474768
700930.0000000596,6.236912610622137
750925.0000000596,6.236737022080383
800920.0000000596,6.236558634213712
850915.0000000596,6.236377447391545
900910.0000000596,6.236193461988578
950905.0000000596,6.236006678384981
1000900.00000006,6.235817096966246
1050895.00000006,6.235624718123173
1100890.00000006,6.235429542251786
1150885.00000006,6.235231569753699
1200880.00000006,6.235030801035625
1250875.00000006,6.234827236509565
1300870.00000006,6.234620876593059
1350865.00000006,6.234411721708739
1400860.00000006,6.234199772284907
1450855.00000006,6.233985028754633
1500850.00000006,6.233767491556749
1550845.00000006,6.233547161135261
1600840.00000006,6.233324037939358
1650835.00000006,6.233098122423733
1700830.00000006,6.232869415048251
1750825.00000006,6.232637916278119
1800820.00000006,6.232403626583761
1850815.00000006,6.232166546441027
1900810.00000006,6.231926676330971
1950805.00000006,6.231684016739818
2000800.00000006,6.231438568159318
2050795.00000006,6.231190331086375
2100790.00000006,6.230939306023064
2150785.00000006,6.230685493476825
2200780.00000006,6.230428893960564
2250775.00000006,6.230169507992088
2300770.00000006,6.229907336094639
2350765.00000006,6.229642378796816
2400760.00000006,6.229374636632318
2450755.00000006,6.229104110140064
2500750.00000006,6.228830799864492
2550745.00000006,6.228554706354902
2600740.00000006,6.22827583016615
2650735.00000006,6.227994171858221
2700730.00000006,6.227709731996232
2750725.00000006,6.22742251115074
2800720.00000006,6.227132509897288
2850715.00000006,6.226839728816787
2900710.00000006,6.226544168495495
2950705.00000006,6.22624582952457
3000700.00000006,6.225944712500608
3050695.00000006,6.22564081802525
3100690.00000006,6.225334146705662
3150685.00000006,6.225024699153781
3200680.00000006,6.224712475987065
3250675.00000006,6.224397477828037
3300670.00000006,6.224079705304401
3350665.00000006,6.223759159048975
3400660.00000006,6.223435839700029
3450655.00000006,6.223109747900724
3500650.00000006,6.222780884299435
3550645.00000006,6.222449249549937
3600640.00000006,6.222114844310932
3650635.00000006,6.221777669246257
3700630.00000006,6.221437725025028
3750625.00000006,6.221095012321573
3800620.00000006,6.220749531815337
3850615.00000006,6.220401284190697
3900610.00000006,6.220050270137292
3950605.00000006,6.219696490349989
4000600.00000006,6.2193399455288
4050595.00000006,6.218980636378634
4100590.00000006,6.218618563609796
4150585.00000006,6.218253727937513
4200580.00000006,6.217886130082196
4250575.00000006,6.217515770769349
4300570.00000006,6.217142650729691
4350565.00000006,6.216766770698721
4400560.00000006,6.216388131417601
4450555.00000006,6.216006733631772
4500550.00000006,6.215622578092561
4550545.00000006,6.215235665555876
4600540.00000006,6.214845996783044
4650535.00000006,6.214453572539929
4700530.00000006,6.214058393598094
4750525.00000006,6.213660460733816
4800520.00000006,6.213259774728352
4850515.00000006,6.212856336368371
4900510.00000006,6.212450146445066
4950505.00000006,6.212041205755172
5000500.00000006,6.211629515100324
5050495.00000006,6.2112150752868
5100490.00000006,6.210797887126498
5150485.00000006,6.210377951435961
5200480.00000006,6.209955269036866
5250475.00000006,6.209529840755787
5300470.00000006,6.209101667424495
5350465.00000006,6.208670749879611
5400460.00000006,6.208237088962766
5450455.00000006,6.207800685520696
5500450.00000006,6.207361540404922
5550445.00000006,6.206919654472255
5600440.00000006,6.206475028584094
5650435.00000006,6.206027663607031
5700430.00000006,6.205577560412683
5750425.00000006,6.205124719877348
5800420.00000006,6.204669142882661
5850415.00000006,6.204210830314839
5900410.00000006,6.203749783065257
5950405.00000006,6.203286002030258
6000400.00000006,6.202819488110858
6050395.00000006,6.202350242213202
6100390.00000006,6.201878265248353
6150385.00000006,6.20140355813215
6200380.00000006,6.200926121785618
6250375.00000006,6.200445957134356
6300370.00000006,6.199963065109192
6350365.00000006,6.199477446645333
6400360.00000006,6.198989102683441
6450355.00000006,6.198498034168639
6500350.00000006,6.198004242051153
6550345.00000006,6.197507727286068
6600340.00000006,6.197008490833287
6650335.00000006,6.196506533657471
6700330.00000006,6.196001856728277
6750325.00000006,6.195494461019988
6800320.00000006,6.194984347512187
6850315.00000006,6.194471517188603
6900310.00000006,6.193955971038325
6950305.00000006,6.193437710055152
7000300.00000006,6.192916735237604
7050295.00000006,6.192393047588912
7100290.00000006,6.191866648117536
7150285.00000006,6.191337537836077
7200280.00000006,6.19080571776256
7250275.00000006,6.190271188919305
7300270.00000006,6.189733952333686
7350265.00000006,6.18919400903783
7400260.00000006,6.188651360068408
7450255.00000006,6.188106006467223
7500250.00000006,6.187557949280386
7550245.00000006,6.187007189558988
7600240.00000006,6.186453728359065
7650235.00000006,6.185897566740915
