db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1)))) X,db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_VM_25D_TB_tsmc/spectre/schematic/psf" ?result "pac") harmonic -1)))) Y
1000,4.275995117501179
100990,4.273378523258105
200980,4.270056740293374
300970,4.266031386258246
400960,4.261304417646173
500950,4.255878126634622
600940,4.24975513739872
700930,4.24293840859298
800920,4.235431204137056
900910,4.227237121769153
1000900,4.218360066694026
1100890,4.208804250248484
1200880,4.198574183361152
1300870,4.187674669601108
1400860,4.176110797839895
1500850,4.163887934547962
1600840,4.151011715749233
1700830,4.137488038660584
1800820,4.123323053038114
1900810,4.108523152257638
2000800,4.093094964155448
2100790,4.077045341654331
2200780,4.060381353201332
2300770,4.043110273044547
2400760,4.025239571373035
2500750,4.006776904347072
2600740,3.987730104044008
2700730,3.968107168344015
2800720,3.94791625078116
2900710,3.927165650382665
3000700,3.905863801520595
3100690,3.88401926379751
3200680,3.861640711987482
3300670,3.838736926054768
3400660,3.815316781267733
3500650,3.791389238427683
3600640,3.766963334231282
3700630,3.742048171781217
3800620,3.716652911262802
3900610,3.690786760799276
4000600,3.664458967500441
4100590,3.637678808716121
4200580,3.610455583506286
4300570,3.582798604337438
4400560,3.554717189014613
4500550,3.52622065285673
4600540,3.497318301122153
4700530,3.468019421691238
4800520,3.438333278008892
4900510,3.408269102293445
5000500,3.377836089012968
5100490,3.347043388631804
5200480,3.315900101629825
5300470,3.284415272791945
5400460,3.252597885771329
5500450,3.220456857922767
5600440,3.188001035404651
5700430,3.155239188548752
5800420,3.12218000749399
5900410,3.088832098080097
6000400,3.055203977998898
6100390,3.021304073197529
6200380,2.987140714528614
6300370,2.952722134644371
6400360,2.918056465125552
6500350,2.883151733843054
6600340,2.848015862543764
6700330,2.812656664654992
6800320,2.777081843302144
6900310,2.741298989530329
7000300,2.705315580726228
7100290,2.669138979231154
7200280,2.632776431139839
7300270,2.596235065276305
7400260,2.559521892341901
7500250,2.522643804226941
7600240,2.485607573478798
7700230,2.44841985292207
7800220,2.411087175420014
7900210,2.373615953774563
8000200,2.336012480754559
8100190,2.298282929248512
8200180,2.26043335253373
8300170,2.222469684656394
8400160,2.184397740915305
8500150,2.146223218445266
8600140,2.107951696891206
8700130,2.069588639170426
8800120,2.031139392315491
8900110,1.992609188393009
9000100,1.954003145492119
9100090,1.915326268779991
9200080,1.87658345161643
9300070,1.837779476725045
9400060,1.798919017415836
9500050,1.760006638854248
9600040,1.72104679937394
9700030,1.682043851827025
9800020,1.643002044970576
9900010,1.603925524883401
10000000,1.5648183364114
