db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc/spectre/schematic/temp=40/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc/spectre/schematic/temp=40/psf" ?result "pac") harmonic -1)))) X,db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc/spectre/schematic/temp=40/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc/spectre/schematic/temp=40/psf" ?result "pac") harmonic -1)))) Y
1000.000000059605,6.326565833871493
50995.0000000596,6.326425290504188
100990.0000000596,6.326281878011355
150985.0000000596,6.32613559670239
200980.0000000596,6.325986446892125
250975.0000000596,6.325834428901361
300970.0000000596,6.32567954305638
350965.0000000596,6.325521789689069
400960.0000000596,6.325361169136863
450955.0000000596,6.325197681742861
500950.0000000596,6.32503132785578
550945.0000000596,6.324862107830166
600940.0000000596,6.324690022025692
650935.0000000596,6.324515070808081
700930.0000000596,6.324337254548448
750925.0000000596,6.324156573623576
800920.0000000596,6.32397302841577
850915.0000000596,6.323786619313047
900910.0000000596,6.323597346708753
950905.0000000596,6.323405211002262
1000900.00000006,6.323210212598205
1050895.00000006,6.323012351906882
1100890.00000006,6.322811629344142
1150885.00000006,6.322608045331481
1200880.00000006,6.322401600295914
1250875.00000006,6.322192294670065
1300870.00000006,6.321980128892109
1350865.00000006,6.321765103405901
1400860.00000006,6.321547218660591
1450855.00000006,6.321326475111126
1500850.00000006,6.321102873218106
1550845.00000006,6.320876413447264
1600840.00000006,6.320647096270271
1650835.00000006,6.320414922164312
1700830.00000006,6.32017989161179
1750825.00000006,6.319942005101255
1800820.00000006,6.319701263126099
1850815.00000006,6.319457666185797
1900810.00000006,6.31921121478509
1950805.00000006,6.318961909434315
2000800.00000006,6.318709750649322
2050795.00000006,6.31845473895139
2100790.00000006,6.318196874867697
2150785.00000006,6.317936158930336
2200780.00000006,6.317672591677582
2250775.00000006,6.317406173652596
2300770.00000006,6.317136905404542
2350765.00000006,6.316864787487813
2400760.00000006,6.316589820462143
2450755.00000006,6.316312004893269
2500750.00000006,6.316031341352069
2550745.00000006,6.315747830415072
2600740.00000006,6.315461472663959
2650735.00000006,6.315172268686196
2700730.00000006,6.314880219074785
2750725.00000006,6.314585324428101
2800720.00000006,6.314287585349753
2850715.00000006,6.313987002449222
2900710.00000006,6.313683576341173
2950705.00000006,6.313377307645808
3000700.00000006,6.313068196988775
3050695.00000006,6.312756245001213
3100690.00000006,6.312441452319609
3150685.00000006,6.31212381958612
3200680.00000006,6.311803347448107
3250675.00000006,6.311480036558196
3300670.00000006,6.31115388757503
3350665.00000006,6.310824901162189
3400660.00000006,6.310493077988748
3450655.00000006,6.31015841872933
3500650.00000006,6.309820924063974
3550645.00000006,6.309480594677775
3600640.00000006,6.309137431261829
3650635.00000006,6.308791434512201
3700630.00000006,6.308442605130306
3750625.00000006,6.308090943823313
3800620.00000006,6.307736451303441
3850615.00000006,6.307379128288487
3900610.00000006,6.307018975501393
3950605.00000006,6.306655993670816
4000600.00000006,6.306290183530504
4050595.00000006,6.305921545819675
4100590.00000006,6.305550081282818
4150585.00000006,6.305175790669782
4200580.00000006,6.304798674735956
4250575.00000006,6.304418734241892
4300570.00000006,6.304035969953516
4350565.00000006,6.303650382641997
4400560.00000006,6.303261973083948
4450555.00000006,6.302870742061284
4500550.00000006,6.302476690361352
4550545.00000006,6.302079818776494
4600540.00000006,6.301680128104698
4650535.00000006,6.301277619149042
4700530.00000006,6.30087229271799
4750525.00000006,6.300464149625219
4800520.00000006,6.300053190689653
4850515.00000006,6.299639416735952
4900510.00000006,6.29922282859332
4950505.00000006,6.298803427096704
5000500.00000006,6.298381213086273
5050495.00000006,6.297956187407358
5100490.00000006,6.297528350910564
5150485.00000006,6.297097704451772
5200480.00000006,6.296664248892178
5250475.00000006,6.296227985098051
5300470.00000006,6.295788913940958
5350465.00000006,6.295347036297657
5400460.00000006,6.294902353050261
5450455.00000006,6.294454865085967
5500450.00000006,6.29400457329739
5550445.00000006,6.293551478581909
5600440.00000006,6.293095581842607
5650435.00000006,6.292636883987409
5700430.00000006,6.292175385929597
5750425.00000006,6.291711088587627
5800420.00000006,6.291243992884975
5850415.00000006,6.290774099750475
5900410.00000006,6.290301410118023
5950405.00000006,6.289825924926634
6000400.00000006,6.289347645120681
6050395.00000006,6.288866571649514
6100390.00000006,6.288382705467535
6150385.00000006,6.287896047534499
6200380.00000006,6.287406598815068
6250375.00000006,6.286914360279344
6300370.00000006,6.286419332902082
6350365.00000006,6.28592151766343
6400360.00000006,6.285420915548784
6450355.00000006,6.284917527548273
6500350.00000006,6.284411354657378
6550345.00000006,6.283902397876687
6600340.00000006,6.283390658211504
6650335.00000006,6.282876136672771
6700330.00000006,6.282358834276021
