db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc_with_buffer/spectre/schematic/temp=80/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc_with_buffer/spectre/schematic/temp=80/psf" ?result "pac") harmonic -1)))) X,db20(mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc_with_buffer/spectre/schematic/temp=80/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_SB_VM_25D_TB_tsmc_with_buffer/spectre/schematic/temp=80/psf" ?result "pac") harmonic -1)))) Y
1000,7.515720964401755
50995,7.515584531354273
100990,7.515419779746378
150985,7.515226712813118
200980,7.515005334343522
250975,7.514755648679134
300970,7.514477660715128
350965,7.514171375899082
400960,7.513836800230677
450955,7.513473940261716
500950,7.513082803095442
550945,7.512663396386007
600940,7.512215728338385
650935,7.511739807707018
700930,7.511235643796216
750925,7.510703246458982
800920,7.510142626096298
850915,7.509553793656955
900910,7.508936760636049
950905,7.50829153907535
1000900,7.507618141561322
1050895,7.506916581225164
1100890,7.506186871741548
1150885,7.505429027327915
1200880,7.504643062743462
1250875,7.503828993288254
1300870,7.502986834802014
1350865,7.502116603663524
1400860,7.501218316789266
1450855,7.500291991632322
1500850,7.499337646181297
1550845,7.49835529895922
1600840,7.497344969022341
1650835,7.496306675959003
1700830,7.49524044284139
1750825,7.494146284589704
1800820,7.493024225160365
1850815,7.491874286256427
1900810,7.490696490106737
1950805,7.489490859463585
2000800,7.488257417601791
2050795,7.486996188317371
2100790,7.485707195925738
2150785,7.484390465260342
2200780,7.483046021670666
2250775,7.481673891021172
2300770,7.480274099689369
2350765,7.47884667456439
2400760,7.477391643044617
2450755,7.475909033036827
2500750,7.474398872954024
2550745,7.472861191713252
2600740,7.4712960187347
2650735,7.469703383938871
2700730,7.4680833177454
2750725,7.466435851070901
2800720,7.464761015326921
2850715,7.463058842418066
2900710,7.461329364740195
2950705,7.459572615177999
3000700,7.457788627103205
3050695,7.455977434372748
3100690,7.454139071326091
3150685,7.45227357278349
3200680,7.450380974043625
3250675,7.448461310882111
3300670,7.446514619547749
3350665,7.44454093676211
3400660,7.442540299715964
3450655,7.44051274606778
3500650,7.43845831394066
3550645,7.436377041920831
3600640,7.434268969054801
3650635,7.432134134847022
3700630,7.429972579257492
3750625,7.427784342699502
3800620,7.425569466036994
3850615,7.423327990582217
3900610,7.421059958093073
3950605,7.418765410770619
4000600,7.416444391256997
4050595,7.4140969426317
4100590,7.411723108410646
4150585,7.409322932542208
4200580,7.406896459405341
4250575,7.404443733806091
4300570,7.401964800976324
4350565,7.399459706569677
4400560,7.396928496659664
4450555,7.394371217736529
4500550,7.391787916704793
4550545,7.389178640880503
4600540,7.386543437987979
4650535,7.383882356157767
4700530,7.381195443923435
4750525,7.378482750218325
4800520,7.375744324373505
4850515,7.37298021611449
4900510,7.370190475558328
4950505,7.367375153211052
5000500,7.364534299964079
5050495,7.36166796709205
5100490,7.358776206249442
5150485,7.355859069467904
5200480,7.352916609152968
5250475,7.34994887808128
5300470,7.346955929397573
5350465,7.343937816611632
5400460,7.340894593595316
5450455,7.337826314579637
5500450,7.334733034151353
5550445,7.331614807250278
5600440,7.32847168916626
5650435,7.325303735535713
5700430,7.322111002338748
5750425,7.31889354589624
5800420,7.315651422866423
5850415,7.312384690242157
5900410,7.309093405347344
5950405,7.305777625834051
6000400,7.302437409679447
6050395,7.299072815182505
6100390,7.295683900960837
6150385,7.292270725947584
6200380,7.288833349388279
6250375,7.285371830837565
6300370,7.281886230156061
6350365,7.278376607507335
6400360,7.274843023354266
6450355,7.271285538456366
6500350,7.26770421386615
6550345,7.264099110926163
6600340,7.260470291265701
6650335,7.256817816797582
6700330,7.253141749714967
6750325,7.249442152487889
6800320,7.245719087860422
6850315,7.241972618847051
6900310,7.238202808729629
6950305,7.234409721054357
7000300,7.230593415417403
7050295,7.226753964204327
7100290,7.222891427621931
7150285,7.219005870240113
7200280,7.215097356876758
7250275,7.211165952594235
7300270,7.207211722696353
7350265,7.203234732724938
7400260,7.199235048456853
7450255,7.195212735900366
7500250,7.191167861292032
7550245,7.187100491093887
7600240,7.183010691989518
7650235,7.178898530881139
7700230,7.174764074886552
7750225,7.170607391335391
7800220,7.16642854776649
7850215,7.162227611924016
7900210,7.158004651754885
7950205,7.153759735404935
8000200,7.149492931216161
8050195,7.145204307723212
8100190,7.140893933650279
8150185,7.136561877907939
8200180,7.132208209589823
8250175,7.127832997969412
8300170,7.12343631249693
8350165,7.119018222796194
8400160,7.114578798661305
8450155,7.11011811005363
8500150,7.105636227098096
8550145,7.101133220080902
8600140,7.096609159445867
8650135,7.092064115790871
8700130,7.087498159865605
8750125,7.082911362567732
8800120,7.078303794940034
8850115,7.073675528167296
8900110,7.06902663357309
8950105,7.064357182616683
9000100,7.059667246890075
9050095,7.054956898114721
9100090,7.050226208138487
9150085,7.04547524893274
9200080,7.040704092589102
9250075,7.035912811316604
9300070,7.031101477438155
9350065,7.02627016338827
9400060,7.021418941709387
9450055,7.016547885049315
9500050,7.011657066157696
9550045,7.006746557883504
9600040,7.001816433172172
9650035,6.996866765061909
9700030,6.991897626681403
9750025,6.986909091246672
9800020,6.981901232058135
9850015,6.976874122497535
9900010,6.971827836025395
9950005,6.96676244617762
10000000,6.961678026563101
