db20((mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic -1))) / mag((value(i("V0:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic 0) - value(i("V1:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic 0))))) X,db20((mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic -1))) / mag((value(i("V0:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic 0) - value(i("V1:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=-40/psf" ?result "pac") harmonic 0))))) Y
1000,59.13292883919596
100990,59.1311198689035
200980,59.12833339242452
300970,59.12457129025618
400960,59.11983609690645
500950,59.1141309952169
600940,59.10745980926039
700930,59.09982699584306
800920,59.09123763465462
900910,59.08169741710847
1000900,59.07121263392483
1100890,59.05979016151255
1200880,59.04743744720933
1300870,59.03416249344807
1400860,59.01997384091588
1500850,59.00488055077956
1600840,58.98889218605235
1700830,58.97201879218015
1800820,58.95427087692458
1900810,58.93565938962603
2000800,58.91619569992491
2100790,58.8958915760258
2200780,58.87475916258165
2300770,58.8528109582823
2400760,58.83005979322348
2500750,58.80651880613506
2600740,58.78220142154373
2700730,58.75712132694359
2800720,58.73129245004399
2900710,58.70472893616294
3000700,58.67744512583
3100690,58.64945553265868
3200680,58.62077482154619
3300670,58.59141778725358
3400660,58.56139933341466
3500650,58.53073445202079
3600640,58.49943820342133
3700630,58.46752569687713
3800620,58.43501207170145
3900610,58.40191247901717
4000600,58.36824206415437
4100590,58.33401594834947
4200580,58.29924921786815
4300570,58.26395690047197
4400560,58.22815395580895
4500550,58.19185525997479
4600540,58.15507559208746
4700530,58.11782962158056
4800520,58.08013189621594
4900510,58.04199683080958
5000500,58.00343869666616
5100490,57.96447161171213
5200480,57.92510953131895
5300470,57.88536623980179
5400460,57.84525534258177
5500450,57.8047902589949
5600440,57.76398421573245
5700430,57.7228502408922
5800420,57.68140115862531
5900410,57.63964958435647
6000400,57.5976079205582
6100390,57.55528835305792
6200380,57.51270284785726
6300370,57.46986314844152
6400360,57.42678077355759
6500350,57.38346701544006
6600340,57.33993293845973
6700330,57.2961893781801
6800320,57.25224694079172
6900310,57.20811600291181
7000300,57.16380671172139
7100290,57.1193289854245
7200280,57.07469251400676
7300270,57.02990676027524
7400260,56.98498096116032
7500250,56.93992412926087
7600240,56.89474505461585
7700230,56.8494523066843
7800220,56.80405423651703
7900210,56.75855897910662
8000200,56.71297445589588
8100190,56.66730837743471
8200180,56.62156824616812
8300170,56.57576135934438
8400160,56.52989481202886
8500150,56.48397550021271
8600140,56.43801012400366
8700130,56.39200519088977
8800120,56.34596701906409
8900110,56.29990174080191
9000100,56.25381530588021
9100090,56.20771348503289
9200080,56.16160187343045
9300070,56.11548589417993
9400060,56.06937080183581
9500050,56.02326168591613
9600040,55.9771634744183
9700030,55.93108093732794
9800020,55.88501869011526
9900010,55.83898119721614
10000000,55.7929727754907
550001000,55.7929727754907
550100990,55.79280299291133
550200980,55.79256967675578
550300970,55.79227311688935
550400960,55.79191369033637
550500950,55.79149186001477
550600940,55.79100817318006
550700930,55.79046325958853
550800920,55.78985782939138
550900910,55.78919267077295
