db20((mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "pac") harmonic -1))) / mag((value(i("V0:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "pac") harmonic 0) - value(i("V1:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "pac") harmonic 0))))) X,db20((mag((value(v("VO_IP" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "pac") harmonic -1) - value(v("VO_IN" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "pac") harmonic -1))) / mag((value(i("V0:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "pac") harmonic 0) - value(i("V1:p" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=120/psf" ?result "pac") harmonic 0))))) Y
1000,62.04537892034017
100990,62.04176164705341
200980,62.03629048911615
300970,62.02897244642232
400960,62.0198168498728
500950,62.00883532192368
600940,61.99604172779044
700930,61.98145211773042
800920,61.96508466090439
900910,61.94695957138094
1000900,61.92709902690261
1100890,61.90552708108279
1200880,61.88226956973959
1300870,61.85735401210371
1400860,61.83080950765564
1500850,61.80266662935963
1600840,61.77295731406191
1700830,61.74171475081419
1800820,61.70897326786884
1900810,61.67476821906645
2000800,61.6391358703106
2100790,61.60211328678675
2200780,61.56373822154176
2300770,61.52404900599811
2400760,61.48308444292539
2500750,61.44088370234573
2600740,61.3974862207941
2700730,61.35293160362072
2800720,61.30725953470491
2900710,61.26050968384845
3000700,61.21272162522325
3100690,61.16393475729915
3200680,61.11418822821869
3300670,61.06352086606414
3400660,61.01197111405394
3500650,60.95957697066616
3600640,60.90637593465742
3700630,60.85240495490665
3800620,60.79770038499498
3900610,60.7422979424006
4000600,60.68623267217358
4100590,60.62953891493009
4200580,60.57225027900128
4300570,60.51439961654837
4400560,60.45601900345682
4500550,60.39713972280901
4600540,60.3377922517338
4700530,60.27800625142784
4800520,60.21781056014377
4900510,60.15723318894165
5000500,60.09630132000009
5100490,60.03504130729411
5200480,59.97347867944201
5300470,59.91163814453954
5400460,59.84954359679784
5500450,59.78721812481582
5600440,59.72468402131831
5700430,59.66196279420647
5800420,59.59907517876956
5900410,59.5360411509179
6000400,59.47287994130606
6100390,59.40961005022039
6200380,59.346249263118
