db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=40/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=40/psf" ?result "psp")) Y
540000000,-2.959793390430088
540400000,-3.026793166797186
540800000,-3.097923495067194
541200000,-3.173371531561107
541600000,-3.253303079307281
542000000,-3.337851785144657
542400000,-3.427105628706728
542800000,-3.521090308260246
543200000,-3.61974918660498
543600000,-3.722919595897693
544000000,-3.83030554873368
544400000,-3.941447305919612
544800000,-4.055688852318998
545200000,-4.172145164563184
545600000,-4.28967222270391
546000000,-4.406843967187387
546400000,-4.521941680083961
546800000,-4.632962286299193
547200000,-4.73765238459592
547600000,-4.833573874081586
548000000,-4.918204304888155
548400000,-4.989070287340065
548800000,-5.043905765439515
549200000,-5.080819855990326
549600000,-5.098453222548401
550000000,-5.096099822992123
550400000,-5.073773933354687
550800000,-5.032210634430646
551200000,-4.972799552057631
551600000,-4.897463321231184
552000000,-4.808500718732351
552400000,-4.708417697154256
552800000,-4.599767595651038
553200000,-4.485016143040819
553600000,-4.366439736406162
554000000,-4.246058856289939
554400000,-4.125603570978129
554800000,-4.006505246165491
555200000,-3.889907565864132
555600000,-3.776690253690722
556000000,-3.667499898014582
556400000,-3.562783577563173
556800000,-3.462822257327234
557200000,-3.367762018181013
557600000,-3.277642038498629
558000000,-3.192418864727212
558400000,-3.111986923660273
558800000,-3.036195485795929
559200000,-2.964862429376798
559600000,-2.89778521485399
560000000,-2.834749487985532
