db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=80/psf" ?result "psp")) X,db20(getData("s11" ?resultsDir "/data/ee20b087/simulation/Mixer_DB_CM_25D_TB_tsmc/spectre/schematic/temp=80/psf" ?result "psp")) Y
540000000,-3.075687030024294
540400000,-3.145410931147312
540800000,-3.219878485404916
541200000,-3.299373956787313
541600000,-3.384171597577978
542000000,-3.474524674578938
542400000,-3.570651008142831
542800000,-3.67271427510951
543200000,-3.780800288368038
543600000,-3.894887503400152
544000000,-4.014811170723266
544400000,-4.140220928872528
544800000,-4.270532313263183
545200000,-4.404873753697503
545600000,-4.542032250224041
546000000,-4.680403099556612
546400000,-4.817951700042483
546800000,-4.952198246610791
547200000,-5.080238316286145
547600000,-5.198812781519123
548000000,-5.304437707397519
548400000,-5.393597580628798
548800000,-5.46299307354798
549200000,-5.50981923684674
549600000,-5.532035670769479
550000000,-5.528582601327106
550400000,-5.499500838179295
550800000,-5.445930417292261
551200000,-5.369987970351015
551600000,-5.274548121447332
552000000,-5.162971080153344
552400000,-5.038822677441733
552800000,-4.905625450089504
553200000,-4.766664969343494
553600000,-4.624860207417428
554000000,-4.482694501913441
554400000,-4.342196308469364
554800000,-4.204956125380716
555200000,-4.07216641775576
555600000,-3.944673586948888
556000000,-3.823033853572665
556400000,-3.7075676178952
556800000,-3.598409078299609
557200000,-3.495549531765143
557600000,-3.398873895702403
558000000,-3.308190681766437
558400000,-3.223256032818641
558800000,-3.143792603519659
559200000,-3.06950410081249
559600000,-3.000086258874535
560000000,-2.935234940807284
